factor,date,rolling_mean_ic,rolling_ic_ir
momentum_12m,2016-01-14,0.027343085460718765,0.16350791906298712
momentum_12m,2016-02-16,0.025112235432618056,0.14566771720239413
momentum_12m,2016-03-16,0.016673719629739035,0.09057475386272144
momentum_12m,2016-04-15,0.020857419829244356,0.1117794457683504
momentum_12m,2016-05-16,0.022721132519859223,0.11978724669325633
momentum_12m,2016-06-15,0.021940997898347005,0.11160565044924724
momentum_12m,2016-07-15,0.008491235558733762,0.04094959162937656
momentum_12m,2016-08-15,0.00024410899883923172,0.0011599042125966601
momentum_12m,2016-09-14,-0.00027972177289607063,-0.001342733535043658
momentum_12m,2016-10-13,0.00016386453219337046,0.0008222072956264636
momentum_12m,2016-11-11,-0.007078781351197377,-0.03596078787687786
momentum_12m,2016-12-13,-0.009387712337291791,-0.04903067203732324
momentum_12m,2017-01-13,-0.012574008558131615,-0.06800870676854841
momentum_12m,2017-02-14,-0.007580694059669553,-0.043070582433678686
momentum_12m,2017-03-16,-0.002317478414977174,-0.014146917343782624
momentum_12m,2017-04-17,-0.003076612329768124,-0.01932361563091331
momentum_12m,2017-05-16,-0.002876854763434948,-0.018966233883837155
momentum_12m,2017-06-15,-0.0033630741389469375,-0.023327967136903095
momentum_12m,2017-07-17,0.005793855946086539,0.043365430197327644
momentum_12m,2017-08-15,0.009574144345806177,0.07666385179132906
momentum_12m,2017-09-14,0.0077531699298062865,0.062034745351356224
momentum_12m,2017-10-13,0.010131441741642036,0.0791456763844894
momentum_12m,2017-11-13,0.01654138944431179,0.1304060680020676
momentum_12m,2017-12-13,0.012997319818248547,0.09905595870173102
momentum_12m,2018-01-16,0.015841379266670903,0.11841249757624593
momentum_12m,2018-02-14,0.016750269234764904,0.12353123221099932
momentum_12m,2018-03-16,0.019660203855409678,0.14456750526526777
momentum_12m,2018-04-17,0.021726503611447942,0.15429725624703153
momentum_12m,2018-05-16,0.018517236233415134,0.13058946632782914
momentum_12m,2018-06-15,0.01810178128863326,0.12823992680453014
momentum_12m,2018-07-17,0.0157980472635538,0.11544576748514655
momentum_12m,2018-08-15,0.01681589234659704,0.11873608052905278
momentum_12m,2018-09-14,0.018644131635156245,0.12887052834663087
momentum_12m,2018-10-15,0.015283842687772093,0.10277642858213475
momentum_12m,2018-11-13,0.012512178279520244,0.08353055212987857
momentum_12m,2018-12-14,0.015367329187681718,0.10482821602541
momentum_12m,2019-01-16,0.012560702568566682,0.08613313865290395
momentum_12m,2019-02-15,0.009628432241503851,0.0643417111900864
momentum_12m,2019-03-19,0.01003390747160329,0.06614143893484895
momentum_12m,2019-04-17,0.004817953785325699,0.031825785954431786
momentum_12m,2019-05-17,0.011367127808157159,0.07498880505431886
momentum_12m,2019-06-18,0.014695882949793954,0.09092326222508158
momentum_12m,2019-07-18,0.014741892672360524,0.08865549437988109
momentum_12m,2019-08-16,0.01836811813778192,0.1080656069919499
momentum_12m,2019-09-17,0.013012613263741233,0.06969449920514269
momentum_12m,2019-10-16,0.014844900367741371,0.07893414712167504
momentum_12m,2019-11-14,0.012253641598156426,0.060806847018701725
momentum_12m,2019-12-16,0.010039142304639889,0.0486813183143762
momentum_12m,2020-01-16,0.013446952641304393,0.06505008924579986
momentum_12m,2020-02-18,0.0216754321588245,0.105734295008429
momentum_12m,2020-03-18,0.02161662682694618,0.10537628156236037
momentum_12m,2020-04-17,0.02766426522611747,0.1351109780123309
momentum_12m,2020-05-18,0.023198428821606356,0.10529314148369576
momentum_12m,2020-06-17,0.015064374065171455,0.0623788964903266
momentum_12m,2020-07-17,0.022327933745921003,0.09006332278911484
momentum_12m,2020-08-17,0.018771623064832505,0.07434359616450045
momentum_12m,2020-09-16,0.01888707055099067,0.07534705147352483
momentum_12m,2020-10-15,0.022446773504365764,0.08935635061395113
momentum_12m,2020-11-13,0.02100155806085298,0.08290394061021977
momentum_12m,2020-12-15,0.020376512645587194,0.07894794021045397
momentum_12m,2021-01-15,0.020637271277006545,0.07936160898324088
momentum_12m,2021-02-17,0.013597437147056565,0.05227240478256499
momentum_12m,2021-03-18,0.005022362234095385,0.019021762430445836
momentum_12m,2021-04-19,0.0002752781802094323,0.0010490310655631844
momentum_12m,2021-05-18,-0.0009247020861343397,-0.0036708757017548978
momentum_12m,2021-06-17,0.0016113499241517811,0.007071975859293238
momentum_12m,2021-07-19,-0.005982758176675001,-0.027093840263607186
momentum_12m,2021-08-17,-0.0048401541223386055,-0.02300500161148672
momentum_12m,2021-09-16,0.0012712378271042687,0.006484445094474439
momentum_12m,2021-10-15,-0.004246514026247006,-0.022518028175655323
momentum_12m,2021-11-15,0.0015077079417008012,0.008874286219505654
momentum_12m,2021-12-15,0.000446522678784013,0.002802047272092085
momentum_12m,2022-01-14,-0.005160064945082808,-0.03265490152895338
momentum_12m,2022-02-15,-0.004715691950684909,-0.030203927754209513
momentum_12m,2022-03-17,0.0018995562296234786,0.012882163531302908
momentum_12m,2022-04-18,0.004142605204146435,0.02804116089950186
momentum_12m,2022-05-17,0.002571013227465259,0.017770151371772548
momentum_12m,2022-06-16,0.005389388875318138,0.03777390411035097
momentum_12m,2022-07-19,0.005161644575850493,0.03633017499299569
momentum_12m,2022-08-17,0.004262997094400979,0.029110855436079174
momentum_12m,2022-09-16,0.005125054260577061,0.033944029484131735
momentum_12m,2022-10-17,0.008739385208838595,0.05688256559395911
momentum_12m,2022-11-15,0.0076694126975272335,0.04641021516316771
momentum_12m,2022-12-15,0.01377189124732138,0.08165175144890922
momentum_12m,2023-01-18,0.010872681493758673,0.06263213666148683
momentum_12m,2023-02-16,0.009946586056231648,0.05267203003715314
momentum_12m,2023-03-20,0.01188545514154652,0.06215983266234704
momentum_12m,2023-04-19,0.012406845850749977,0.06454608265846032
momentum_12m,2023-05-18,0.015542262646345166,0.08067930958186713
momentum_12m,2023-06-20,0.013381904891519502,0.06909740350215585
momentum_12m,2023-07-20,0.012861284524181501,0.06678611912501896
momentum_12m,2023-08-18,0.011829105416042918,0.06225905218554529
momentum_12m,2023-09-19,0.012150893712045358,0.06474239014706412
momentum_12m,2023-10-18,0.011320754489653218,0.06082736937266215
momentum_12m,2023-11-16,0.015111684007089017,0.08270964679998419
momentum_12m,2023-12-18,0.009879948016835977,0.053399404090385044
momentum_12m,2024-01-19,0.022425227847123152,0.1245813221107049
momentum_12m,2024-02-20,0.024858613984646415,0.14884877704669494
momentum_12m,2024-03-20,0.023623873000509867,0.1405814297524001
momentum_12m,2024-04-19,0.020076749472483404,0.11616041032876304
momentum_12m,2024-05-20,0.018788151122826693,0.10850964764718996
momentum_12m,2024-06-20,0.022037734953320568,0.1276153003027438
momentum_12m,2024-07-22,0.023912562375828846,0.1409232012978893
momentum_12m,2024-08-20,0.026785153904308846,0.15842819015145643
momentum_12m,2024-09-19,0.02663189436943922,0.15858580734257643
momentum_12m,2024-10-18,0.026135442680673394,0.15463525165474287
momentum_12m,2024-11-18,0.024718045604091306,0.15314452511667137
momentum_12m,2024-12-18,0.025913320981501557,0.16464521122976858
momentum_12m,2025-01-22,0.02141135900970176,0.13695248195715928
momentum_12m,2025-02-21,0.020733843588639517,0.13271334802616788
momentum_12m,2025-03-24,0.019891756710745095,0.12503946940242022
momentum_12m,2025-04-23,0.023228782590430905,0.15099708876433843
momentum_12m,2025-05-22,0.02713976630127902,0.16879500159881608
momentum_12m,2025-06-24,0.023287322312022483,0.1392532470097232
momentum_12m,2025-07-24,0.02288169918135325,0.12832775538813326
momentum_12m,2025-08-22,0.021036855838952765,0.11652133514408006
momentum_12m,2025-09-23,0.02210927929362128,0.12043774584270464
momentum_12m,2025-10-22,0.020400620407710162,0.11140107181166116
volatility_60d,2001-02-15,-0.025102883134165616,-0.15159868183315134
volatility_60d,2001-03-19,-0.0292087449041001,-0.17153554187737563
volatility_60d,2001-04-18,-0.022984222618358998,-0.12915211436843535
volatility_60d,2001-05-17,-0.02052478413454648,-0.11462170669515945
volatility_60d,2001-06-18,-0.02882323071530192,-0.15553321682688098
volatility_60d,2001-07-18,-0.02993019779499771,-0.16034590082481207
volatility_60d,2001-08-16,-0.033865841214329825,-0.18089305579409365
volatility_60d,2001-09-21,-0.03960874582500508,-0.20626252834016948
volatility_60d,2001-10-22,-0.032174739001663226,-0.1627942937857601
volatility_60d,2001-11-20,-0.027436014754169718,-0.13918243073660155
volatility_60d,2001-12-20,-0.019883574366977144,-0.10298882553855047
volatility_60d,2002-01-23,-0.021725282150434892,-0.1142262678632022
volatility_60d,2002-02-22,-0.02362681736998959,-0.12400456103737963
volatility_60d,2002-03-25,-0.01537588355939326,-0.08175884514893775
volatility_60d,2002-04-24,-0.020825072857874473,-0.11464227178654726
volatility_60d,2002-05-23,-0.025066159272502136,-0.1364115914304309
volatility_60d,2002-06-24,-0.023913668156311615,-0.13525155546995046
volatility_60d,2002-07-24,-0.02335217675597668,-0.130887636217777
volatility_60d,2002-08-22,-0.018736992085907216,-0.10338609511771722
volatility_60d,2002-09-23,-0.01832740275711224,-0.09954879215809194
volatility_60d,2002-10-22,-0.018314274911031055,-0.09930192894867669
volatility_60d,2002-11-20,-0.016614172442559923,-0.08738405746614177
volatility_60d,2002-12-20,-0.021938031518431808,-0.11286340848128627
volatility_60d,2003-01-23,-0.021774301160246562,-0.11006828462329234
volatility_60d,2003-02-24,-0.021195943948672916,-0.10835136131495135
volatility_60d,2003-03-25,-0.021259852286833504,-0.10846857499970923
volatility_60d,2003-04-24,-0.015743404676391223,-0.0808051161131238
volatility_60d,2003-05-23,-0.006748915752638776,-0.03462210377477536
volatility_60d,2003-06-24,0.003228331103602921,0.01648516906158716
volatility_60d,2003-07-24,0.006287524817236881,0.03211967103692765
volatility_60d,2003-08-22,0.009391746431742507,0.048232808527486334
volatility_60d,2003-09-23,0.016598709124654935,0.08892242329450935
volatility_60d,2003-10-22,0.014881467532908884,0.08035048630435279
volatility_60d,2003-11-20,0.009131442071781572,0.05066850134232359
volatility_60d,2003-12-22,0.01448594304068589,0.08162442591338276
volatility_60d,2004-01-23,0.017721171961371376,0.1024988601395613
volatility_60d,2004-02-24,0.018606959530680155,0.10453639449215416
volatility_60d,2004-03-24,0.01655586853803507,0.0906927641594897
volatility_60d,2004-04-23,0.01396497670302167,0.0767184276465758
volatility_60d,2004-05-24,0.005844148921261505,0.03139873871708614
volatility_60d,2004-06-24,0.005448347165320725,0.029145581099290073
volatility_60d,2004-07-26,-0.0008784146801646693,-0.004680799249337051
volatility_60d,2004-08-24,-0.004647330363588334,-0.02444759966115854
volatility_60d,2004-09-23,-0.004594182380389633,-0.02398612730954142
volatility_60d,2004-10-22,-0.0037187682945618284,-0.019845913735258666
volatility_60d,2004-11-22,0.0001336227427304641,0.0007281679913106478
volatility_60d,2004-12-22,0.0002607844887290657,0.0014660982214633423
volatility_60d,2005-01-24,-0.0033449995720719475,-0.018951522594050356
volatility_60d,2005-02-23,0.0022015319144539826,0.012882204444534728
volatility_60d,2005-03-24,0.0003391717946554696,0.0020750431670611496
volatility_60d,2005-04-25,-0.0011628715695610433,-0.007097297889642904
volatility_60d,2005-05-24,0.003047856765431319,0.01951876637713366
volatility_60d,2005-06-23,0.004721406401376292,0.03154247341651105
volatility_60d,2005-07-25,0.012310192488067058,0.08558022500104562
volatility_60d,2005-08-23,0.013552250025561544,0.1006075811362272
volatility_60d,2005-09-22,0.012156451428045136,0.0940769113530897
volatility_60d,2005-10-21,0.010928651740010942,0.08130331710607887
volatility_60d,2005-11-21,0.010195583212607221,0.07291438976000499
volatility_60d,2005-12-21,0.008507528070311236,0.06142805210083034
volatility_60d,2006-01-24,0.0122738840129336,0.09059769648546671
volatility_60d,2006-02-23,0.009317706871121439,0.06872774290524743
volatility_60d,2006-03-24,0.012360450506492622,0.08864180843696914
volatility_60d,2006-04-25,0.015888323141688105,0.11649230567927138
volatility_60d,2006-05-24,0.008211444668198904,0.05883200385010376
volatility_60d,2006-06-23,0.0027898979153552733,0.018147503564791837
volatility_60d,2006-07-25,-0.0044428648209619654,-0.026837388522887102
volatility_60d,2006-08-23,-0.007533947631453056,-0.043372160539222125
volatility_60d,2006-09-22,-0.0079724135644384,-0.04476642087260408
volatility_60d,2006-10-23,-0.007634863836785279,-0.04328837739172926
volatility_60d,2006-11-21,-0.007240639231372215,-0.041155536278725986
volatility_60d,2006-12-21,-0.012137200517223737,-0.0685789928008114
volatility_60d,2007-01-25,-0.01517536234154873,-0.08520891718309687
volatility_60d,2007-02-26,-0.016364901798008542,-0.0918953419002837
volatility_60d,2007-03-27,-0.01655096995132862,-0.09331532321848493
volatility_60d,2007-04-26,-0.017961767596024053,-0.10249293787113802
volatility_60d,2007-05-25,-0.014767305873418445,-0.08512491249908496
volatility_60d,2007-06-26,-0.014454898457262477,-0.0895638036035908
volatility_60d,2007-07-26,-0.014461939583749259,-0.09706569074525906
volatility_60d,2007-08-24,-0.013149830299490144,-0.09183398015689141
volatility_60d,2007-09-25,-0.01277042020586202,-0.08781837261776683
volatility_60d,2007-10-24,-0.013087141530577613,-0.09118860383420473
volatility_60d,2007-11-23,-0.020233621137923874,-0.14085311460205743
volatility_60d,2007-12-24,-0.011900694546533684,-0.08074295332017999
volatility_60d,2008-01-25,-0.015222961670120024,-0.10160830687366595
volatility_60d,2008-02-26,-0.013965992353005446,-0.09198081544699506
volatility_60d,2008-03-27,-0.01823773609817359,-0.11484392226657383
volatility_60d,2008-04-25,-0.016536502292121145,-0.10160397422790916
volatility_60d,2008-05-27,-0.015814552138773332,-0.09829100752689261
volatility_60d,2008-06-25,-0.017866842905710733,-0.10900360989402873
volatility_60d,2008-07-25,-0.01713137345294047,-0.10196139638305325
volatility_60d,2008-08-25,-0.01567169584846012,-0.09155901649324101
volatility_60d,2008-09-24,-0.014502012005898322,-0.08319643505771596
volatility_60d,2008-10-23,-0.02216478862065099,-0.12269159439766515
volatility_60d,2008-11-21,-0.022753445372629647,-0.12086675403696005
volatility_60d,2008-12-23,-0.023533587799760412,-0.12072689548072692
volatility_60d,2009-01-26,-0.019939685632373864,-0.09668486836102395
volatility_60d,2009-02-25,-0.02363935989999865,-0.10984524405616092
volatility_60d,2009-03-26,-0.017431993746500268,-0.07857229227344946
volatility_60d,2009-04-27,-0.014893744766678358,-0.06326269533832227
volatility_60d,2009-05-27,-0.010083681812898405,-0.040607228128702565
volatility_60d,2009-06-25,-0.0098653251216366,-0.038900573745987134
volatility_60d,2009-07-27,-0.004291217122946096,-0.01664334729220234
volatility_60d,2009-08-25,0.001124402148121102,0.004267900065366194
volatility_60d,2009-09-24,0.0010318348491643418,0.003866968473094482
volatility_60d,2009-10-23,0.005239998507559838,0.019576826636926
volatility_60d,2009-11-23,0.005909678515500224,0.022030421479152056
volatility_60d,2009-12-23,0.007915411140013949,0.030037907312168145
volatility_60d,2010-01-26,0.005330870238945938,0.020758630283126463
volatility_60d,2010-02-25,0.010281723048050142,0.04076887230162977
volatility_60d,2010-03-26,0.011452011204472728,0.04699116400414342
volatility_60d,2010-04-27,0.00755890448361079,0.032461566875961904
volatility_60d,2010-05-26,0.00231519947511228,0.009935914293566233
volatility_60d,2010-06-25,0.0005846192127237437,0.0024647664583883917
volatility_60d,2010-07-27,-0.0019641240196910568,-0.008087449294689304
volatility_60d,2010-08-25,-0.013521258613577286,-0.05660695576876819
volatility_60d,2010-09-24,-0.011444582757306443,-0.04783401849938998
volatility_60d,2010-10-25,-0.007744456091959135,-0.03319281220253412
volatility_60d,2010-11-23,-0.0036684325473314277,-0.01621314467819396
volatility_60d,2010-12-23,-0.0061228874029026215,-0.027171654340311987
volatility_60d,2011-01-25,-0.003677800841002936,-0.01642522583588613
volatility_60d,2011-02-24,-0.004075027672770926,-0.018466865155122768
volatility_60d,2011-03-25,-0.009370027616760507,-0.04300474599761598
volatility_60d,2011-04-26,-0.011326585652263563,-0.05293577923722403
volatility_60d,2011-05-25,-0.012957008766829762,-0.06426841395543782
volatility_60d,2011-06-24,-0.010876780419447174,-0.056340900888476785
volatility_60d,2011-07-26,-0.01024907331014981,-0.05594824236717871
volatility_60d,2011-08-24,-0.011854145400028746,-0.061404077479861874
volatility_60d,2011-09-23,-0.0182539780330442,-0.09340508879757016
volatility_60d,2011-10-24,-0.017038526386058656,-0.07908239386816385
volatility_60d,2011-11-22,-0.021194547363315545,-0.09440376893858139
volatility_60d,2011-12-22,-0.024416154403444794,-0.10321922587876972
volatility_60d,2012-01-25,-0.018472587058091575,-0.07700861872647603
volatility_60d,2012-02-24,-0.016967415775450526,-0.06992070621427172
volatility_60d,2012-03-26,-0.0169559465828404,-0.06891384511751418
volatility_60d,2012-04-25,-0.021218758965458894,-0.08530969492041897
volatility_60d,2012-05-24,-0.02182350816971731,-0.08742801594784737
volatility_60d,2012-06-25,-0.01975917699490804,-0.07833626332082216
volatility_60d,2012-07-25,-0.022878418167306708,-0.0920532378234221
volatility_60d,2012-08-23,-0.012391476636566274,-0.0519629089922513
volatility_60d,2012-09-24,-0.010715201207972138,-0.0464004358412419
volatility_60d,2012-10-23,-0.013567651178151714,-0.06395750838552491
volatility_60d,2012-11-26,-0.010018046173770315,-0.05016318747128421
volatility_60d,2012-12-26,-0.005933799169020853,-0.03273952748221666
volatility_60d,2013-01-28,-0.010892365837097831,-0.06238986002682183
volatility_60d,2013-02-27,-0.015274621833055592,-0.09101868183790528
volatility_60d,2013-03-28,-0.015195822443362787,-0.09468481360664663
volatility_60d,2013-04-29,-0.009439600011911796,-0.06011088281464869
volatility_60d,2013-05-29,-0.0017903416141402072,-0.01175471175734617
volatility_60d,2013-06-27,-0.003934075300527234,-0.027401459077108673
volatility_60d,2013-07-29,-0.0009997341354819965,-0.007167298565312098
volatility_60d,2013-08-27,-0.0048665363872716985,-0.0358916704532737
volatility_60d,2013-09-26,-0.002407356922357206,-0.018869181176096816
volatility_60d,2013-10-25,-0.0010686326223628942,-0.008489584552381236
volatility_60d,2013-11-25,-0.0037561227435275327,-0.029589130897356795
volatility_60d,2013-12-26,-0.006227603692720154,-0.04906433756770281
volatility_60d,2014-01-28,-0.004178238240694198,-0.0331829465929124
volatility_60d,2014-02-27,-0.0005657071876752169,-0.004530406175572387
volatility_60d,2014-03-28,-0.0014306262328036459,-0.011308566041274531
volatility_60d,2014-04-29,-0.0042986077606368255,-0.03242187831145395
volatility_60d,2014-05-29,-0.006592461220773734,-0.047573390918385854
volatility_60d,2014-06-27,0.00012709422957293292,0.0009500833255181206
volatility_60d,2014-07-29,-0.0023549954034285006,-0.017120908050714548
volatility_60d,2014-08-27,-0.0008444435561326622,-0.006208116040245197
volatility_60d,2014-09-26,-0.004619846428289649,-0.03306755053491996
volatility_60d,2014-10-27,-0.004700807002757803,-0.032957381745582645
volatility_60d,2014-11-25,-0.00056436496080499,-0.004018809208666199
volatility_60d,2014-12-26,-0.0020952679074875092,-0.014526285504349012
volatility_60d,2015-01-28,-0.0066201433752056515,-0.04556989606933871
volatility_60d,2015-02-27,-0.007227157299741023,-0.050389690365815455
volatility_60d,2015-03-30,-0.0058576996876715005,-0.041808214010661246
volatility_60d,2015-04-29,-0.0012051284362708783,-0.009282537396425554
volatility_60d,2015-05-29,-0.0005051984311010459,-0.004231976324865733
volatility_60d,2015-06-29,-0.005364162897729055,-0.045524405429805084
volatility_60d,2015-07-29,-0.006840769741351467,-0.060018910850513744
volatility_60d,2015-08-27,-0.008014177931582241,-0.07213571781271519
volatility_60d,2015-09-28,-0.009377246533073862,-0.08883315382856792
volatility_60d,2015-10-27,-0.009418727122509008,-0.09176803366854892
volatility_60d,2015-11-25,-0.011094929793014347,-0.1055998621226762
volatility_60d,2015-12-28,-0.012360671128697093,-0.12010892933671748
volatility_60d,2016-01-28,-0.016122861104772988,-0.15071102132386188
volatility_60d,2016-02-29,-0.01353575703241318,-0.11293361796411677
volatility_60d,2016-03-30,-0.011356094244326353,-0.08549126663737786
volatility_60d,2016-04-28,-0.011613117985308256,-0.08296267186858527
volatility_60d,2016-05-27,-0.013554686509535072,-0.09239303475705214
volatility_60d,2016-06-28,-0.014209747578279799,-0.09086415178160723
volatility_60d,2016-07-28,-0.0034110237319647163,-0.020375174687023816
volatility_60d,2016-08-26,-0.0007872480201394803,-0.0045209203704132854
volatility_60d,2016-09-27,0.0034277561496127732,0.019603574293927093
volatility_60d,2016-10-26,0.0033069455852590517,0.01903806033023939
volatility_60d,2016-11-25,0.004370682997786249,0.025270820662272837
volatility_60d,2016-12-27,0.005619915321612636,0.03235307173462274
volatility_60d,2017-01-27,0.011467878989366714,0.06708930747149379
volatility_60d,2017-02-28,0.008128360377300988,0.048999739469331165
volatility_60d,2017-03-29,0.0056184341084759455,0.035076390477663914
volatility_60d,2017-04-28,0.00310162042890658,0.019641746300655967
volatility_60d,2017-05-30,-0.00046936181963614304,-0.003022486292878075
volatility_60d,2017-06-28,0.004123606876637595,0.027509480199074773
volatility_60d,2017-07-28,-0.0011323577374298087,-0.008201667031922695
volatility_60d,2017-08-28,-0.005773125590733906,-0.04339484148432069
volatility_60d,2017-09-27,-0.0028198347137980946,-0.021055429353499716
volatility_60d,2017-10-26,-0.0050649293963747595,-0.03820664966262395
volatility_60d,2017-11-27,-0.00390717170677681,-0.029580662722511995
volatility_60d,2017-12-27,-0.002688134751979521,-0.020896835138889142
volatility_60d,2018-01-29,-0.004494872886098735,-0.035288630033805904
volatility_60d,2018-02-28,-0.003161161322578218,-0.025618706235260632
volatility_60d,2018-03-29,-0.002551775231747368,-0.021440065207738623
volatility_60d,2018-04-30,-0.002093621418368009,-0.018131140249455738
volatility_60d,2018-05-30,0.005333507892747775,0.04754489631876673
volatility_60d,2018-06-28,0.0030852527099728333,0.028905532562640533
volatility_60d,2018-07-30,-6.341438608194693e-05,-0.0005964198372093542
volatility_60d,2018-08-28,0.0036031321158620454,0.03542893197553183
volatility_60d,2018-09-27,-0.002274787436852321,-0.02331115079663534
volatility_60d,2018-10-26,-0.001868217553147957,-0.018876937297232048
volatility_60d,2018-11-27,-0.0036960203964854846,-0.0354524986788102
