name,mean_ic,ic_tstat,mean_autocorr,avg_decile_spread,avg_decile_0,avg_decile_1,avg_decile_2,avg_decile_3,avg_decile_4,avg_decile_5,avg_decile_6,avg_decile_7,avg_decile_8,avg_decile_9,ic_ir,ls_return_mean,ls_return_std,ls_sharpe,ls_max_drawdown,ff_alpha,ff_beta_mktrf,ff_beta_smb,ff_beta_hml,ff_beta_umd,ff_t_alpha,ff_p_alpha,ff_t_mktrf,ff_p_mktrf,ff_t_smb,ff_p_smb,ff_t_hml,ff_p_hml,ff_t_umd,ff_p_umd,ic_hit_rate,recent_ic_mean_60d,ls_sharpe_last_yr,ls_max_drawdown_last_yr
size_log_mktcap,0.002629894522767027,1.5083661347086994,0.9994939295785117,0.011133708492471622,0.001225146603267914,0.0009054331940610996,0.0007214220996087807,0.0006148246604028475,0.0005303520633844746,0.0005452290135453259,0.0005191196759411577,0.000567333453118048,0.0004938017295824627,0.0004974112190951972,0.021192109070144776,-0.0007291181660438522,0.010764145194179982,-1.0752727553923462,-0.9829780656385083,-0.000717059673611107,-0.022510793985965154,-0.029474694145691278,0.017712132522468095,0.06134531428021292,-4.791381050001314,1.703839852540412e-06,-1.7725258962869628,0.07636759924823555,-1.213819756701427,0.22487334645098445,0.8618723990144218,0.3887986778628192,3.8475274278191858,0.00012078824745187511,0.5100671140939598,0.038359549453537964,-0.8302564187656954,-0.3146538046660605
earnings_yield,0.0020436653054816296,1.5901379378357114,0.9977894233871332,0.012156622874771393,0.0011484429148534514,0.0007029176137923548,0.0005921261355335842,0.0005203101927841475,0.0005885120675228496,0.0006440456365703627,0.0005751679930324236,0.0005557539836985794,0.0006061356085065835,0.0006865714514720187,0.022340979315143155,-0.00046124616623221393,0.008651400361412659,-0.8463434343938722,-0.9358376722480126,-0.000447471414798732,-0.039000801174861224,0.002881767559335423,-0.0030046186917927855,0.05439868103217853,-3.746393761947387,0.00018139643935310978,-3.8478489645472562,0.00012063033459464023,0.14869848906687008,0.8817974930776276,-0.183191026988454,0.8546554916791842,4.274953658505839,1.947026096882354e-05,0.5003947887879984,0.021745976619491278,-0.26041246555639,-0.30962280742358617
residual_vol_252d,-0.0065868513207814686,-3.321800723986337,0.9992049776665244,0.013952127847667811,0.0005337494266842121,0.0005202144708073841,0.000519979798430642,0.0005334303223874337,0.0005919095354115523,0.0005865881638940695,0.0005721567637606854,0.000687078069596187,0.000824879391157727,0.0014461618896126037,-0.041984250907469656,0.0009131828579493429,0.014564793538022326,0.9952992758959136,-0.46440479020792835,0.0009032189981979007,0.05826899359197446,0.029661683381934843,-0.0354730928345275,-0.08939768861323241,4.943946375749816,7.855685144608771e-07,3.693185987444264,0.00022335390548167133,0.9925335623172452,0.3209757886141549,-1.412661068751171,0.15780526018414864,-4.679946158732627,2.9300760011619076e-06,0.48753993610223645,-0.0250621885608044,1.1334662622051133,-0.27996149983055507
cashflow_yield,-0.0008239855328032933,-0.5376989280714625,0.9986280009295768,0.012224174672659576,0.0008652312012670892,0.0006706658051971029,0.0006392068821647979,0.0005789012531704043,0.0005282862671847353,0.0006073285388308922,0.0005856511077063376,0.0005947302314942989,0.0006971305573138137,0.000887711083700345,-0.008014651896567334,1.993060676543675e-05,0.008866740816269078,0.03568262346174359,-0.6598248394553333,1.9316511401080848e-05,0.00011399974036163949,-0.0018655387499073358,0.06137678012404902,-0.019632515559833422,0.14602594788157566,0.8839074699505425,0.01047647769700215,0.9916415992646075,-0.08954457012966201,0.928653134033937,3.5554073797676695,0.000381289210292568,-1.4454456704889944,0.1484026410153898,0.49233503665852035,-0.008715714303103243,-0.5389282191808525,-0.14990988425718
dividend_yield_ttm,0.0016203354665902821,1.5425824990336952,0.9971012548724769,0.012497246632671943,0.0007861905496574206,0.0007511459795778926,0.0006622581810856945,0.0006903348490027058,0.0006281816902345055,0.0006549196322452602,0.000693987322687985,0.0006099732806937495,0.0006185497203067627,0.0008295943704861586,0.01912455640261598,2.684867492159427e-05,0.007009186822357647,0.06080726795374077,-0.5804564825932308,2.7175019791175382e-05,0.007065185014833214,-0.06842910272415423,0.042630453939863214,-0.014843256878521017,0.3132766310701322,0.7540805730376634,0.9630091424578855,0.33557882518623483,-4.996067670498076,6.004256927205631e-07,3.612259397855488,0.00030583589774368924,-1.668041422419036,0.09535576028856374,0.4935444205348909,-0.01476002601667138,-0.8212868901935675,-0.1531176976954186
beta_252d,-0.006072684766562469,-2.202478398675791,0.9988866733132835,0.01591911897315848,0.0006827993170988789,0.0005661185253616746,0.0006027279353538137,0.0005731089829193304,0.0006002769229048085,0.0005686127284049679,0.0007333261736491864,0.0007168230938207914,0.0008350164087779253,0.0009524396341828574,-0.027654403926681198,0.00026624544630940683,0.018180521757176743,0.23247492499274,-0.7927679971879683,0.0003199166391305301,-0.04669753161429556,0.04154849075875256,-0.053605917095846015,-0.09540070628464782,1.4021637314856823,0.1609154339214065,-2.3844274919656634,0.017135018932447954,1.1139480504887755,0.2653438021756842,-1.7304022441460813,0.08360720893819495,-4.003230893707287,6.319797078457867e-05,0.4912501970676336,-0.003594722672205098,0.9411464829717721,-0.30534901444341855
downside_beta_252d,-0.002267638735297013,-0.9368807473625406,0.9974032327254879,0.014091812245108365,0.0005712580691905697,0.0005461664603924158,0.0005636977072701879,0.000596586227574047,0.000611204081148164,0.0007078750991488051,0.000660850930909396,0.0007289538535994873,0.0008121307120184201,0.001159170854260824,-0.011906081212077469,0.0005855860726663977,0.015740665718723196,0.5905652837752884,-0.5271530265656303,0.000607724517896925,-0.010734382902254815,0.04614136369283151,-0.056963146215816676,-0.07206561534129029,3.0365432739272356,0.0024030644775476784,-0.6197001465179691,0.5354780876687855,1.4094488836248924,0.15875284469400963,-2.0147045937903485,0.04397888391476812,-3.3534259495394325,0.0008029822070079184,0.5048449612403101,0.004287508718979871,1.7177728503450747,-0.25385396494804535
free_cashflow_yield,0.0005374060220891851,0.40833176858332326,0.9983828290729415,0.012106230446863302,0.0010178308061189459,0.0006385643923823737,0.0006559580345529768,0.0006035696073202946,0.0005436538116477819,0.0005915037399886683,0.000594702423603141,0.0006140178342440315,0.0005834279929771305,0.0008118539922459235,0.0060863743865788,-0.00020708265940623318,0.0074612994509859155,-0.4405848240419197,-0.7455075401278406,-0.00020361600723338636,-0.023671454010869935,-0.0013699046799285992,0.028094427152820116,0.01563875306738928,-1.8290823454930725,0.06745366694344379,-2.5849751195327437,0.00976990182163795,-0.07813494890921495,0.9377241940354715,1.9338618729772197,0.053192982264347544,1.3681948338305816,0.1713196664682295,0.49922239502332816,-0.005607396923733663,-1.3594442767496029,-0.2676696077626781
gross_profitability,0.008900881175118471,6.60904348260561,0.9987131733541008,0.011021405676954447,0.0007005955560580911,0.000582786945088846,0.0005910431581315529,0.0005967774474967328,0.0005294778715175853,0.0006743361592741004,0.0006656783725615099,0.0006973033611497945,0.0007517729293010964,0.0008327939304113093,0.09285515440172376,0.0001315909458398289,0.007828462733293361,0.2668392986014692,-0.4031675998581987,0.00016334677373290804,-0.06526332865102975,-0.013700477777418266,0.002933156178202913,0.034069008593770454,1.5162548176124555,0.12951754617432187,-7.138832905315446,1.0749179324420766e-12,-0.7837847843353817,0.43320317663402674,0.19827297759858775,0.8428394767665637,2.9683564097237753,0.003008036951791304,0.5382945124358468,0.00022846915805810724,-0.8784072896770673,-0.2552804340671816
rd_intensity,-0.0013443086968808512,-1.1528546628827183,0.9995804538347737,0.016751231928376957,0.000585755791324181,0.0006974278624403458,0.0006396338817445217,0.0006187585039372542,0.0006343689182774931,0.0006381513137659246,0.0005592262230550214,0.0006208660676746828,0.0006322546233536773,0.0009468771263538665,-0.01718383342045918,0.00031595165098367194,0.008132736482812644,0.6167145559847076,-0.2995360374399332,0.00034606769211148507,-0.04782346213649451,0.048984590620429085,-0.02289033285608344,-0.013021374642077312,2.8604448942696954,0.004250034579917905,-4.805334601026908,1.5954227805536902e-06,2.570784389201058,0.010178826941938723,-1.4498015705131326,0.14718381382159196,-1.0482233898989528,0.2945922045612748,0.491224172406132,0.005123330468973949,2.054335193564787,-0.13849821760961467
