factor,mean_ic,ic_tstat,ic_ir,mean_autocorr,avg_decile_spread,avg_decile_0,avg_decile_1,avg_decile_2,avg_decile_3,avg_decile_4,avg_decile_5,avg_decile_6,avg_decile_7,avg_decile_8,avg_decile_9,ls_return_mean,ls_return_std,ls_sharpe,ls_max_drawdown,ff_alpha,ff_t_alpha,ff_p_alpha,ff_beta_mktrf,ff_t_mktrf,ff_p_mktrf,ff_beta_smb,ff_t_smb,ff_p_smb,ff_beta_hml,ff_t_hml,ff_p_hml,ff_beta_umd,ff_t_umd,ff_p_umd,ic_hit_rate,recent_ic_mean_60d,ls_sharpe_last_yr,ls_max_drawdown_last_yr,ic_mean_12m,dq_total_dates,dq_total_tickers,dq_non_null_obs,dq_pct_non_null,dq_mean_coverage,dq_median_coverage,dq_min_coverage,dq_pct_allnan_dates
dividend_yield_ttm,0.0016203354665902821,1.5425824990336952,0.01912455640261598,0.9971012548724769,0.012497246632671943,0.0007861905496574206,0.0007511459795778926,0.0006622581810856945,0.0006903348490027058,0.0006281816902345055,0.0006549196322452602,0.000693987322687985,0.0006099732806937495,0.0006185497203067627,0.0008295943704861586,2.684867492159427e-05,0.007009186822357647,0.06080726795374077,-0.5804564825932308,2.7175019791175382e-05,0.3132766310701322,0.7540805730376634,0.007065185014833214,0.9630091424578855,0.33557882518623483,-0.06842910272415423,-4.996067670498076,6.004256927205631e-07,0.042630453939863214,3.612259397855488,0.00030583589774368924,-0.014843256878521017,-1.668041422419036,0.09535576028856374,0.4935444205348909,-0.014760026016671387,-0.8212868901935675,-0.1531176976954186,-0.00620422032070376,6508.0,688.0,4477504.0,1.0,1.0,1.0,1.0,0.0
cashflow_yield,-0.0008239855328032933,-0.5376989280714625,-0.008014651896567334,0.9986280009295768,0.012224174672659576,0.0008652312012670892,0.0006706658051971029,0.0006392068821647979,0.0005789012531704043,0.0005282862671847353,0.0006073285388308922,0.0005856511077063376,0.0005947302314942989,0.0006971305573138137,0.000887711083700345,1.993060676543675e-05,0.008866740816269078,0.03568262346174359,-0.6598248394553333,1.9316511401080848e-05,0.14602594788157566,0.8839074699505425,0.00011399974036163949,0.01047647769700215,0.9916415992646075,-0.0018655387499073358,-0.08954457012966201,0.928653134033937,0.06137678012404902,3.5554073797676695,0.000381289210292568,-0.019632515559833422,-1.4454456704889944,0.1484026410153898,0.49233503665852035,-0.008715714303103249,-0.5389282191808525,-0.14990988425718,-0.006965339868252184,4512.0,688.0,3104256.0,1.0,1.0,1.0,1.0,0.0
free_cashflow_yield,0.0005374060220891851,0.40833176858332326,0.0060863743865788,0.9983828290729415,0.012106230446863302,0.0010178308061189459,0.0006385643923823737,0.0006559580345529768,0.0006035696073202946,0.0005436538116477819,0.0005915037399886683,0.000594702423603141,0.0006140178342440315,0.0005834279929771305,0.0008118539922459235,-0.00020708265940623318,0.0074612994509859155,-0.4405848240419197,-0.7455075401278406,-0.00020361600723338636,-1.8290823454930725,0.06745366694344379,-0.023671454010869935,-2.5849751195327437,0.00976990182163795,-0.0013699046799285992,-0.07813494890921495,0.9377241940354715,0.028094427152820116,1.9338618729772197,0.053192982264347544,0.01563875306738928,1.3681948338305816,0.1713196664682295,0.49922239502332816,-0.005607396923733669,-1.3594442767496029,-0.2676696077626781,-0.003517128860859891,4512.0,688.0,3104256.0,1.0,1.0,1.0,1.0,0.0
beta_252d,-0.006072684766562469,-2.202478398675791,-0.027654403926681198,0.9988866733132835,0.01591911897315848,0.0006827993170988789,0.0005661185253616746,0.0006027279353538137,0.0005731089829193304,0.0006002769229048085,0.0005686127284049679,0.0007333261736491864,0.0007168230938207914,0.0008350164087779253,0.0009524396341828574,0.00026624544630940683,0.018180521757176743,0.23247492499274,-0.7927679971879683,0.0003199166391305301,1.4021637314856823,0.1609154339214065,-0.04669753161429556,-2.3844274919656634,0.017135018932447954,0.04154849075875256,1.1139480504887755,0.2653438021756842,-0.053605917095846015,-1.7304022441460813,0.08360720893819495,-0.09540070628464782,-4.003230893707287,6.319797078457867e-05,0.4912501970676336,-0.003594722672205099,0.9411464829717721,-0.30534901444341855,0.0037067140637546563,6354.0,688.0,4371552.0,1.0,1.0,1.0,1.0,0.0
downside_beta_252d,-0.002267638735297013,-0.9368807473625406,-0.011906081212077469,0.9974032327254879,0.014091812245108365,0.0005712580691905697,0.0005461664603924158,0.0005636977072701879,0.000596586227574047,0.000611204081148164,0.0007078750991488051,0.000660850930909396,0.0007289538535994873,0.0008121307120184201,0.001159170854260824,0.0005855860726663977,0.015740665718723196,0.5905652837752884,-0.5271530265656303,0.000607724517896925,3.0365432739272356,0.0024030644775476784,-0.010734382902254815,-0.6197001465179691,0.5354780876687855,0.04614136369283151,1.4094488836248924,0.15875284469400963,-0.056963146215816676,-2.0147045937903485,0.04397888391476812,-0.07206561534129029,-3.3534259495394325,0.0008029822070079184,0.5048449612403101,0.004287508718979873,1.7177728503450747,-0.25385396494804535,0.01003006144072043,6203.0,688.0,4267664.0,1.0,1.0,1.0,1.0,0.0
gross_profitability,0.008900881175118471,6.60904348260561,0.09285515440172376,0.9987131733541008,0.011021405676954447,0.0007005955560580911,0.000582786945088846,0.0005910431581315529,0.0005967774474967328,0.0005294778715175853,0.0006743361592741004,0.0006656783725615099,0.0006973033611497945,0.0007517729293010964,0.0008327939304113093,0.0001315909458398289,0.007828462733293361,0.2668392986014692,-0.4031675998581987,0.00016334677373290804,1.5162548176124555,0.12951754617432187,-0.06526332865102975,-7.138832905315446,1.0749179324420766e-12,-0.013700477777418266,-0.7837847843353817,0.43320317663402674,0.002933156178202913,0.19827297759858775,0.8428394767665637,0.034069008593770454,2.9683564097237753,0.003008036951791304,0.5382945124358468,0.00022846915805810724,-0.8784072896770673,-0.2552804340671816,0.0026358006315284903,5077.0,688.0,3492976.0,1.0,1.0,1.0,1.0,0.0
rd_intensity,-0.0013443086968808512,-1.1528546628827183,-0.01718383342045918,0.9995804538347737,0.016751231928376957,0.000585755791324181,0.0006974278624403458,0.0006396338817445217,0.0006187585039372542,0.0006343689182774931,0.0006381513137659246,0.0005592262230550214,0.0006208660676746828,0.0006322546233536773,0.0009468771263538665,0.00031595165098367194,0.008132736482812644,0.6167145559847076,-0.2995360374399332,0.00034606769211148507,2.8604448942696954,0.004250034579917905,-0.04782346213649451,-4.805334601026908,1.5954227805536902e-06,0.048984590620429085,2.570784389201058,0.010178826941938723,-0.02289033285608344,-1.4498015705131326,0.14718381382159196,-0.013021374642077312,-1.0482233898989528,0.2945922045612748,0.491224172406132,0.005123330468973949,2.054335193564787,-0.13849821760961467,0.004883603910879605,4512.0,688.0,3104256.0,1.0,1.0,1.0,1.0,0.0
accruals,-0.0022487399784485206,-2.8594471369382752,-0.04262138572861457,0.998287504779814,0.009821746581962148,0.0010645880455860369,0.0007069381656336049,0.0006704534171939989,0.0006202735932544547,0.0005708651876604776,0.0006115789670494508,0.0005816377389291922,0.0005528897132932993,0.0005855524525453174,0.0006893947947491022,-0.00037345796055416263,0.006716891267070988,-0.8826198157540383,-0.8405335358852953,-0.0003771903597453512,-3.917229096982173,9.090570542524823e-05,0.03759686815220954,4.746572819131777,2.1333765682918227e-06,-0.003280731214688072,-0.216332953872518,0.8287380666001414,0.022856722233931225,1.8189311766271659,0.06898861636194842,0.02012037511702062,2.0350680854608796,0.04190273361850805,0.48433681404132417,0.0039487483911467645,-0.6368105726189196,-0.1990165006259178,0.003571755902375839,4512.0,688.0,3104256.0,1.0,1.0,1.0,1.0,0.0
net_issuance,-0.0030385582354390517,-2.715137919704201,-0.04047038991810496,0.9983713923913861,0.01030755923702329,0.0006982392311043671,0.0006373647935493288,0.0006109114796928894,0.0006073618135231965,0.0006169488700639089,0.0006731220562684324,0.000598234448953164,0.0006294140365440617,0.0006776143384237274,0.0009073033072680553,0.00020853332003405568,0.007496654865697074,0.4415787959549763,-0.44729626205832695,0.00023031581424964637,2.0915212488153756,0.03653750409380341,0.01776102844369388,1.9607251663496252,0.04997292165813727,0.015908769788005567,0.9172944410860706,0.3590377139958143,-0.016258928089870308,-1.1313952767109288,0.2579492766536293,-0.012726920487210658,-1.1256058354075829,0.26039265271206236,0.48655854254610087,-0.00781385754921183,0.02661418607208832,-0.14725067901679922,-0.003683272870292175,4512.0,688.0,3104256.0,1.0,1.0,1.0,1.0,0.0
net_buyback_yield,0.0027528346514012554,2.324129438952644,0.03464222717084191,0.9971934972275112,0.010719529428422546,0.0008604525501661782,0.0006693223878480368,0.0006421481271927501,0.00064559391447278,0.0007142602051468993,0.0006505901158408051,0.0005967132383500457,0.0005756369354285798,0.0006046493332065514,0.0006954259416515383,-0.00016135150770031642,0.007308021957172416,-0.35048824336499373,-0.6386496116976258,-0.00015948722579524235,-1.4664451810471224,0.14259718491037465,-0.02039815573023452,-2.2800319004690515,0.022652551175835978,0.007309070612397696,0.42671285732630404,0.6696089746001115,0.0628923840444241,4.431205750211197,9.5943919642405e-06,0.0006509876667521923,0.058295787409514445,0.9535156211662672,0.5134414574538991,0.005854721632281182,-0.784893592117549,-0.1963785043710755,0.004047110745427473,4512.0,688.0,3104256.0,1.0,1.0,1.0,1.0,0.0
